pH,Latitude,Longitude,Location,Depth_m,Altitude_m,Salinity_PSU,Temperature_C,Oxygen_mg_L,Turbidity_NTU,Nitrate_mg_L,Chlorophyll_ug_L
8.04,-28.1251,2.2524,Caribbean Sea,10944.5,417.1,37.17,27.21,4.6,3.73,45.76,9.03
8.24,-9.0859,-117.2927,Norwegian Sea,3447.4,2079.6,37.14,16.97,8.33,30.09,11.15,9.36
8.36,-11.6031,137.1876,Red Sea,9586.0,629.1,36.26,6.7,9.36,6.93,45.81,9.51
7.52,-69.0613,-142.3221,Coral Sea,5070.9,-315.2,39.61,13.22,6.15,20.87,34.67,3.16
7.62,-38.0576,6.5189,South Pacific Ocean,4193.3,-349.1,32.4,1.22,2.04,70.43,27.48,0.63
7.93,36.6874,93.143,Caribbean Sea,1550.5,2536.0,34.61,24.03,8.72,80.45,12.02,8.96
7.7,-82.9297,136.5274,Southern Ocean,7292.9,-353.0,36.76,20.59,8.45,52.82,31.73,7.92
7.97,-6.8016,-150.4552,South Atlantic Ocean,5878.8,402.3,31.46,19.34,4.02,24.43,4.7,3.93
8.11,40.2714,64.1685,Arabian Sea,6812.0,678.6,32.47,16.01,9.26,64.31,11.65,2.29
7.99,42.423,110.8536,Coral Sea,9168.2,663.7,33.07,10.89,2.08,89.81,45.27,0.28
8.18,74.7915,44.4894,Norwegian Sea,8750.9,2408.8,33.76,4.84,9.68,24.39,11.6,4.83
7.52,10.868,-87.8184,Norwegian Sea,1111.0,906.6,33.42,10.06,3.08,3.19,17.98,7.07
8.04,-52.6697,65.0295,Arabian Sea,522.3,2161.7,30.55,24.34,7.93,27.99,9.87,4.28
8.22,48.7666,146.0184,Bay of Bengal,5780.6,-211.3,33.72,18.99,7.69,72.25,18.36,5.39
8.5,1.0336,154.4407,Coral Sea,1371.7,2297.6,31.84,29.61,8.11,31.83,16.03,5.42
7.61,56.5353,76.214,Arabian Sea,10705.3,966.8,30.9,27.39,6.55,91.37,21.85,1.05
7.51,-50.2943,-98.2992,Bering Sea,7323.6,812.5,32.59,12.78,7.48,16.17,7.92,2.34
7.79,-88.7064,-100.5406,Arabian Sea,9634.1,1211.4,32.32,5.72,1.5,78.32,44.4,6.46
7.83,-39.4734,-48.8984,North Pacific Ocean,298.7,1213.6,31.4,-1.3,3.2,47.64,11.91,1.24
8.31,-57.0739,-111.8841,Arabian Sea,5039.2,2815.7,31.31,22.72,8.14,13.81,9.09,8.66
7.75,39.1348,-95.3255,Arabian Sea,5068.4,1214.0,37.19,2.5,6.57,73.07,10.53,3.56
7.75,0.3495,-100.2446,Coral Sea,2678.7,52.4,39.96,33.78,3.02,1.14,13.89,4.42
8.37,-22.7128,-143.62,Gulf of Mexico,940.6,-199.2,30.38,23.87,5.33,62.95,32.06,0.61
7.93,-76.1377,10.4435,Norwegian Sea,3064.4,1446.9,35.04,18.7,3.28,87.43,36.41,3.42
8.16,-51.5861,-79.944,Southern Ocean,7503.3,2470.3,31.63,-1.9,6.97,1.19,18.26,7.32
7.71,77.1011,178.0087,Bering Sea,377.6,606.0,31.26,13.2,9.96,64.25,8.34,2.2
8.1,-52.8977,-29.0395,Arabian Sea,5489.0,2389.0,31.53,19.74,1.86,3.13,21.17,3.77
8.39,14.3725,48.9015,Indian Ocean,4874.3,616.1,36.67,25.12,4.1,84.85,30.91,7.5
8.23,57.7791,161.9753,North Pacific Ocean,2896.7,1414.9,31.17,16.09,6.23,87.47,14.4,2.38
7.64,-37.6193,106.3392,Indian Ocean,3272.0,2346.1,35.75,2.65,6.55,76.17,44.27,8.66
7.63,54.311,112.8808,North Atlantic Ocean,2393.9,825.8,32.27,15.04,6.08,29.58,7.01,3.49
7.6,-31.7088,157.3847,South Pacific Ocean,7126.3,661.9,39.56,-0.13,1.77,32.81,12.04,7.85
8.42,13.5607,124.8153,Caribbean Sea,5181.1,-234.8,35.0,7.72,7.09,26.71,2.26,3.82
8.11,-39.2867,141.4101,Southern Ocean,8529.6,2738.1,38.17,26.78,9.5,85.55,13.07,5.8
7.52,13.6953,148.2534,Gulf of Mexico,7747.6,2949.9,39.44,0.57,5.3,29.31,16.57,2.82
8.34,-52.0305,-2.1966,Bay of Bengal,6074.4,1568.3,33.2,18.74,2.72,63.42,38.9,0.94
7.83,55.5653,-122.3722,South Pacific Ocean,10675.7,2362.5,30.12,21.48,6.98,62.2,6.01,7.65
8.18,-3.489,119.3509,North Atlantic Ocean,4314.1,1675.0,39.8,30.97,9.93,27.64,41.29,9.43
8.35,75.1073,123.1603,South Atlantic Ocean,9630.1,630.8,31.75,27.69,6.81,83.1,42.22,8.15
8.25,23.3885,29.1236,Southern Ocean,5246.1,660.3,34.32,21.8,1.74,58.88,45.3,4.29
8.32,59.026,100.7284,Red Sea,2444.2,1976.9,34.34,3.38,2.94,32.06,31.61,2.69
8.3,63.0439,148.8083,Red Sea,7011.9,1881.2,31.4,14.73,4.59,37.23,37.44,3.1
7.65,4.7363,11.8665,North Atlantic Ocean,5438.4,2952.8,34.77,23.38,7.19,78.91,16.29,9.91
7.89,38.9345,10.3096,Baltic Sea,3732.4,-364.4,37.58,29.5,3.77,48.21,10.48,9.57
8.41,10.0255,145.8315,South Atlantic Ocean,9326.1,2089.2,34.03,21.13,2.92,77.24,4.34,4.02
7.59,-85.9139,15.9432,Red Sea,734.0,1437.2,31.17,-1.02,8.38,47.97,24.6,1.45
8.48,39.2729,114.6798,North Atlantic Ocean,3553.2,2360.2,35.76,23.62,8.76,2.56,31.46,7.03
7.73,88.84,119.1187,Baltic Sea,8038.7,-447.9,39.43,1.21,9.25,27.0,43.46,0.38
8.12,66.5993,-65.2093,North Atlantic Ocean,1980.3,2040.2,30.79,16.55,4.06,37.02,40.09,5.51
7.83,-80.5241,179.109,Bay of Bengal,5456.3,288.8,32.7,-0.37,1.04,92.05,22.47,1.46
8.48,78.1831,122.3148,Coral Sea,3986.2,1298.5,39.36,28.1,8.28,96.38,43.35,2.68
8.02,-53.8368,84.196,Gulf of Mexico,3617.9,1982.4,36.03,7.37,9.28,57.64,18.04,7.75
7.65,-80.1808,-41.0006,North Atlantic Ocean,4564.2,2320.3,35.02,2.16,8.56,15.6,12.15,8.38
8.35,-87.8991,-120.0352,Red Sea,5938.4,2079.3,33.16,26.9,3.24,71.51,9.46,2.48
7.9,-13.8867,-57.2909,Baltic Sea,3373.3,2333.9,35.81,5.56,1.74,36.64,9.98,4.54
8.35,-35.8632,-147.7759,Arabian Sea,4434.7,-475.3,34.82,17.3,7.51,6.7,39.94,6.24
7.94,-57.8671,131.8498,Indian Ocean,6851.8,954.1,35.81,12.83,1.81,69.65,42.46,7.22
8.43,-74.4358,95.3796,Gulf of Mexico,3644.5,-274.6,32.13,6.41,4.17,34.76,12.39,8.49
7.56,-25.6985,-93.5878,Baltic Sea,9562.2,1740.9,35.14,6.75,1.94,29.83,25.34,5.62
8.48,-48.8316,-106.9492,North Pacific Ocean,8832.6,356.0,30.88,8.87,2.15,97.01,47.65,2.02
7.96,24.8355,-90.1394,North Pacific Ocean,1563.0,-452.2,34.35,14.76,9.48,6.28,31.84,3.81
7.87,-22.1702,-29.7485,North Atlantic Ocean,9331.3,-343.7,31.6,6.0,7.92,92.86,15.56,5.34
7.54,-9.0042,-4.0566,Arabian Sea,1986.3,71.5,32.12,3.52,6.25,64.2,29.66,8.32
7.73,47.9782,-150.1057,Caribbean Sea,1275.0,830.8,35.42,11.15,5.52,45.31,21.69,8.06
7.81,-27.206,-152.4912,South Atlantic Ocean,10746.9,1489.5,38.51,31.44,4.25,43.7,31.0,6.38
8.23,-60.2018,-54.3036,Bering Sea,6050.7,1410.7,34.74,16.37,2.05,11.05,30.38,3.31
8.2,-36.9323,47.0283,Bering Sea,9555.8,2351.7,37.14,3.31,5.71,80.12,43.88,5.8
8.39,32.2994,66.0566,Southern Ocean,2713.4,679.2,33.9,0.7,3.29,22.14,21.06,4.52
8.44,-68.7418,64.2593,North Pacific Ocean,10391.6,355.9,30.01,22.9,4.01,85.54,27.85,4.21
8.23,27.9165,7.8285,Baltic Sea,9901.0,2177.2,38.01,9.93,4.2,86.02,32.81,4.1
8.19,40.8067,164.6757,Red Sea,5915.9,974.4,38.96,23.64,6.28,79.31,9.77,5.65
8.4,25.917,92.519,Southern Ocean,9265.4,2735.9,33.1,34.04,3.81,98.78,3.49,8.25
7.63,-24.6088,-4.6693,North Atlantic Ocean,4224.7,762.6,39.86,16.57,3.31,72.58,35.3,8.75
7.58,27.6408,-12.3213,Norwegian Sea,6622.3,1553.7,30.69,8.04,4.69,86.99,47.77,5.74
8.21,59.6264,14.4601,Southern Ocean,7318.5,2152.8,31.88,23.59,1.68,64.48,9.47,5.07
7.81,-33.2222,-56.9236,South Atlantic Ocean,9313.3,1648.1,36.87,25.58,4.43,99.7,36.25,7.11
7.92,-41.6276,143.5421,Indian Ocean,7169.8,2970.7,36.77,30.99,1.63,35.75,8.44,1.81
8.11,82.282,6.4442,Norwegian Sea,10765.7,745.8,39.35,25.07,2.78,27.09,27.23,5.67
8.45,70.4107,52.6838,Gulf of Mexico,134.4,-270.1,38.1,-0.1,9.21,55.41,23.26,3.8
8.37,-41.4115,-101.5638,Bay of Bengal,9181.7,857.5,31.94,24.37,4.36,53.49,13.44,5.21
8.23,-59.2677,-83.9772,Arabian Sea,3286.1,-9.3,32.5,6.71,4.65,51.11,48.89,7.95
7.93,-13.8296,155.3091,Coral Sea,1233.8,-150.8,31.02,4.4,8.83,16.56,42.83,5.61
8.29,0.9754,-160.8653,Bay of Bengal,2364.9,2352.7,32.78,3.89,5.87,28.4,46.21,9.09
7.68,-59.7011,-57.2243,Caribbean Sea,8759.0,657.0,35.12,-1.7,1.04,17.21,15.71,4.64
8.31,-85.5886,-1.5489,Baltic Sea,4392.9,553.5,32.44,3.48,5.71,21.91,41.8,9.72
7.98,57.3252,-59.8954,South Atlantic Ocean,7298.8,213.8,37.05,26.62,1.06,90.72,6.01,7.83
7.76,76.4319,-47.71,Indian Ocean,7238.4,2921.6,39.13,30.95,7.13,3.2,4.11,4.67
7.96,-77.5897,179.3767,Baltic Sea,3820.4,42.0,31.94,9.72,1.48,83.43,18.43,9.57
8.29,61.3045,29.3944,Arabian Sea,5842.5,1970.5,39.72,13.71,4.2,16.11,47.65,7.07
8.16,-10.3772,6.7503,Indian Ocean,5582.9,48.8,39.41,-0.3,2.56,33.28,20.4,2.97
7.64,-57.9285,-27.7219,Bering Sea,4772.2,1249.9,33.3,19.71,9.1,63.03,7.36,3.54
8.19,-20.4704,99.7871,South Atlantic Ocean,2720.3,1365.9,35.43,-1.48,6.87,96.3,26.17,0.21
8.33,65.8536,80.1638,Arabian Sea,5071.9,2445.6,37.23,15.37,6.74,81.44,45.53,3.2
7.65,-68.017,51.9316,Norwegian Sea,818.3,1102.9,38.38,5.26,6.84,96.11,40.71,4.84
7.56,-72.2567,-117.0722,North Pacific Ocean,7812.3,2379.0,32.2,17.34,6.48,98.88,17.31,2.25
7.56,83.8326,-137.2335,Baltic Sea,5416.6,495.4,36.43,34.25,6.92,77.83,2.31,6.49
7.52,-37.165,-3.1431,Baltic Sea,8780.1,187.6,37.78,5.9,9.26,8.68,38.08,3.67
7.52,65.0362,107.7244,South Atlantic Ocean,2418.2,2584.3,33.55,0.44,1.11,1.13,41.7,5.75
8.3,11.0716,-154.848,Caribbean Sea,4399.2,222.2,38.35,10.02,6.74,95.45,46.36,0.35
8.24,-46.7259,143.1282,South Pacific Ocean,10107.3,2120.1,36.45,-0.11,7.59,70.7,15.68,1.47
8.44,-36.8992,125.9006,North Pacific Ocean,5762.1,-171.1,35.16,4.04,1.65,18.74,9.02,5.23
7.86,-15.8475,-105.8513,Red Sea,10040.3,503.3,31.63,-0.35,8.41,68.67,47.28,6.72
8.21,-63.0844,-31.8234,Norwegian Sea,4371.8,-64.1,39.56,23.05,5.66,46.97,32.89,5.2
7.91,37.7922,-157.7495,Indian Ocean,10217.9,920.6,31.53,12.39,7.64,2.04,34.2,7.45
8.06,-14.822,-163.3755,South Pacific Ocean,5426.6,2167.8,36.88,17.1,6.28,30.36,12.99,3.45
7.94,70.0608,-30.1122,Indian Ocean,2157.8,1913.8,30.4,22.54,8.02,26.81,14.88,6.29
7.92,74.8175,-62.3429,Bay of Bengal,5610.0,322.4,31.81,3.74,9.62,65.1,12.95,2.97
7.75,74.4562,110.1021,Southern Ocean,7346.5,1324.5,36.98,25.96,6.65,76.83,19.66,9.38
8.08,26.8758,-81.8555,Norwegian Sea,7746.6,1124.8,34.44,13.36,4.98,99.65,12.53,0.74
7.76,-4.3044,101.1902,Coral Sea,5658.6,2110.4,39.36,21.57,7.71,59.09,3.86,3.53
7.64,-74.8121,-70.1022,South Pacific Ocean,5549.0,-256.5,34.87,32.01,5.19,42.62,9.68,6.55
8.25,45.9936,19.0575,Bay of Bengal,2602.3,2097.2,33.15,0.99,8.91,85.54,23.62,2.49
8.15,-73.9689,127.5251,Southern Ocean,847.4,213.8,39.95,29.66,3.25,63.2,6.25,5.59
7.79,-57.1553,-121.033,Gulf of Mexico,630.4,1810.1,31.67,19.45,9.43,40.97,2.7,1.53
8.13,61.6979,-54.2323,Indian Ocean,4203.8,-158.2,33.16,13.08,3.55,70.23,38.22,4.44
7.53,63.6696,80.9848,Coral Sea,3070.2,2099.3,38.87,24.3,3.19,77.81,15.34,6.83
8.49,-11.7533,-104.542,Indian Ocean,9846.3,1963.8,38.67,2.56,9.1,86.78,2.62,9.02
7.67,39.5945,-154.8711,Bay of Bengal,430.1,442.6,36.23,22.19,7.27,23.87,16.12,0.72
8.44,-50.3772,172.4463,South Atlantic Ocean,9012.7,2640.9,31.62,8.23,2.74,22.97,47.55,4.59
7.57,71.4031,-55.368,Southern Ocean,5623.1,1154.7,35.26,4.39,4.37,22.1,15.37,9.9
8.21,27.7213,136.2979,North Pacific Ocean,8732.7,1613.5,36.61,2.21,8.44,61.69,14.72,7.72
7.72,64.3865,-100.5964,Gulf of Mexico,1672.9,430.1,33.47,32.93,8.78,5.7,15.95,3.22
8.47,-19.4559,10.8024,Indian Ocean,9898.4,1310.2,39.35,19.11,4.35,82.43,19.25,3.74
7.82,-82.7991,132.4692,North Pacific Ocean,3843.8,-355.6,32.52,24.55,7.72,86.89,24.43,8.6
7.54,88.7679,-157.6835,Southern Ocean,10756.6,267.1,32.04,27.12,9.37,97.77,4.92,8.33
7.53,47.187,91.3851,Norwegian Sea,8414.6,2.2,33.92,6.72,5.05,76.72,49.85,9.76
8.36,-60.0416,-132.248,Southern Ocean,9327.2,191.1,31.48,2.57,6.08,14.11,23.68,4.81
7.57,25.2168,-97.8703,Bay of Bengal,372.0,-189.0,35.83,29.29,7.58,88.85,15.67,8.29
8.33,80.2113,-52.0895,Baltic Sea,90.1,560.8,30.61,9.41,2.65,52.21,42.03,9.14
7.65,71.6863,-73.5156,Indian Ocean,2058.0,2394.3,30.56,2.36,9.88,96.6,37.3,9.66
7.78,79.1951,-45.5557,South Pacific Ocean,7700.8,1394.9,31.75,18.26,9.29,57.78,13.46,0.48
8.48,-70.2112,70.312,North Atlantic Ocean,6717.9,1456.7,31.26,17.88,2.22,53.5,37.05,2.91
8.22,63.7499,-92.2298,Bay of Bengal,8720.1,1048.5,30.04,25.2,3.45,5.22,21.8,7.01
7.65,70.4369,40.745,Coral Sea,8794.3,2031.4,35.91,9.3,1.22,34.16,20.33,8.5
7.77,-57.4571,34.1831,Baltic Sea,9088.0,2684.7,36.18,34.42,9.74,93.62,4.75,6.3
7.98,37.3544,-92.7602,Bay of Bengal,10936.8,2074.5,39.27,8.59,2.05,60.01,48.66,0.83
8.39,34.691,-151.3063,Bay of Bengal,7084.8,198.5,30.23,24.88,9.08,34.7,30.93,9.22
8.21,33.9593,-89.6655,Southern Ocean,5561.0,-217.2,30.77,25.92,1.22,37.88,34.03,3.42
8.2,13.077,53.9591,Red Sea,4145.6,-297.7,34.07,25.61,4.09,63.52,25.89,6.04
7.86,-47.1461,-88.3702,Baltic Sea,10635.0,2527.6,33.47,11.13,4.96,66.96,40.98,7.53
8.15,-70.6409,-103.359,Gulf of Mexico,7153.3,877.8,35.37,23.31,4.36,67.23,46.55,7.53
7.67,-45.7626,157.2775,Caribbean Sea,7805.5,-202.8,32.4,1.05,4.47,9.53,24.61,0.41
8.07,74.5866,165.0867,Caribbean Sea,8064.4,2694.6,35.53,29.94,1.91,58.11,6.09,6.09
8.06,-49.3735,-36.1982,Coral Sea,3113.9,897.1,38.73,29.69,7.13,61.81,45.08,4.47
8.19,-12.2814,99.8013,Coral Sea,7937.4,2416.7,35.66,-1.83,9.09,27.27,5.01,1.14
7.74,-10.6367,-154.1696,Indian Ocean,2537.1,399.4,37.41,21.69,5.01,40.28,31.04,6.75
7.62,76.3838,145.6824,North Atlantic Ocean,5736.6,359.8,36.48,6.1,8.33,17.72,44.09,6.84
8.47,-69.2941,-55.4891,Southern Ocean,1499.5,2911.2,38.5,27.46,4.18,17.49,7.16,7.82
7.65,-3.8645,95.7532,North Atlantic Ocean,5799.1,340.8,31.33,10.56,9.48,10.37,15.19,8.28
7.84,55.7037,56.0875,Baltic Sea,9867.0,2661.5,31.35,15.49,7.26,43.09,21.72,1.28
8.37,-78.886,-34.922,Indian Ocean,4071.4,906.4,38.96,22.36,3.77,64.87,4.45,0.37
8.09,44.225,-152.3943,South Pacific Ocean,4927.2,388.6,38.3,3.16,7.5,93.72,11.41,2.94
7.72,-73.0744,41.5949,South Atlantic Ocean,6775.3,1194.4,31.4,9.12,3.36,61.04,25.6,5.64
7.98,-8.5754,-154.0919,Norwegian Sea,10989.6,544.6,31.26,32.6,9.64,51.56,23.01,0.37
8.34,-61.5671,165.3675,Arabian Sea,10146.0,-369.4,38.35,13.54,5.27,91.72,11.74,7.16
8.49,-19.8305,-25.6197,Coral Sea,4509.5,53.1,39.69,24.24,9.26,39.99,46.95,6.9
8.14,-83.2885,-75.2323,Red Sea,10817.4,-28.8,35.26,15.47,3.59,49.72,35.79,1.7
7.75,61.5923,-105.0157,Norwegian Sea,8209.0,1230.0,34.8,20.46,5.57,45.62,27.92,1.27
8.31,-65.9148,-153.2088,Southern Ocean,1170.9,308.3,31.79,28.54,8.96,38.07,32.71,1.27
8.31,-56.2555,74.9456,Indian Ocean,10830.9,-116.6,30.32,9.34,5.25,66.48,8.84,9.1
8.39,-7.5197,176.6145,South Atlantic Ocean,7726.1,-427.1,32.77,16.29,9.27,85.91,17.11,7.24
7.64,-86.4971,-14.7296,Bering Sea,7040.7,186.3,39.54,14.66,5.29,93.22,12.98,2.37
7.87,75.7918,73.6709,Arabian Sea,10636.8,2224.8,36.77,26.92,6.74,55.67,41.77,1.87
7.73,-15.5642,-5.5972,Red Sea,5595.2,2199.5,31.16,13.65,9.29,77.81,33.56,3.63
7.72,5.3589,-34.3184,Arabian Sea,2072.7,2780.9,30.51,30.59,8.35,61.29,7.92,9.72
7.87,66.5035,-49.4402,Southern Ocean,3125.2,1734.0,37.44,15.44,8.2,33.52,12.45,0.54
7.55,13.6921,142.1806,Indian Ocean,6413.2,527.3,33.32,9.77,9.37,81.7,33.77,3.33
8.35,-75.6493,93.7305,Arabian Sea,2460.3,1441.1,39.8,7.65,9.25,94.31,20.86,8.44
8.35,54.5634,129.1721,Baltic Sea,3060.0,881.0,34.85,20.6,3.84,18.88,43.42,8.47
8.44,74.8655,-145.253,South Atlantic Ocean,10093.4,-132.2,33.34,3.36,2.55,83.38,28.71,5.76
7.57,55.4832,-49.6194,Gulf of Mexico,4473.7,74.2,32.35,1.54,8.31,63.14,8.25,6.14
8.07,-55.7818,-104.8956,Bering Sea,8679.7,1992.9,37.48,22.92,9.61,91.0,26.26,7.44
7.51,-3.4018,-118.3545,Gulf of Mexico,5031.9,2884.2,34.61,32.12,7.25,66.97,43.56,8.72
8.09,-36.0951,137.4447,Arabian Sea,6719.7,1834.3,37.16,13.08,4.39,96.31,14.23,0.44
7.6,17.6497,140.0721,Bay of Bengal,10713.4,1859.3,35.96,6.12,7.24,18.84,19.2,8.15
7.89,60.6964,25.8864,North Atlantic Ocean,183.0,2312.1,39.42,17.32,8.36,23.34,40.66,3.42
7.82,-17.9714,-86.6475,Caribbean Sea,788.4,2253.5,30.19,2.87,6.89,36.57,3.74,3.79
7.83,16.6165,170.9452,Bering Sea,3044.5,1969.7,36.34,20.78,9.11,74.35,22.08,7.85
7.69,-88.1604,-140.4575,Norwegian Sea,5553.9,2352.4,34.36,13.18,9.32,33.38,5.8,2.9
7.6,-26.8668,99.6085,North Pacific Ocean,10588.9,1296.9,37.84,27.26,7.87,10.3,24.12,7.3
7.52,21.7824,-61.5859,Southern Ocean,4175.0,1.8,36.89,1.58,4.95,26.51,36.23,7.21
8.25,88.2959,-35.0224,Norwegian Sea,4663.3,2134.8,33.76,7.74,7.86,78.35,19.0,9.39
8.42,-39.9243,108.2876,Baltic Sea,7155.3,286.8,33.7,27.33,4.17,97.68,49.72,6.72
8.39,-58.5465,-166.9618,Arabian Sea,10797.4,2691.1,30.29,30.15,5.98,17.68,33.06,4.12
8.13,71.2235,-11.2895,Baltic Sea,2923.0,-246.7,39.91,28.7,5.98,92.71,41.91,0.26
7.62,11.2789,-32.4178,Bay of Bengal,6939.6,14.0,37.49,7.68,6.14,0.52,27.77,5.63
8.07,89.2353,-85.5638,Gulf of Mexico,8498.7,1071.2,31.5,5.37,1.07,51.66,26.44,2.05
7.6,-44.2527,166.8248,Coral Sea,2217.5,1564.9,35.58,10.22,8.96,8.64,0.05,0.56
8.01,-54.7694,-0.9362,Coral Sea,2272.2,1430.7,39.24,30.91,3.62,97.89,6.84,2.81
8.36,-25.9698,-23.5331,Bay of Bengal,6733.0,359.4,31.45,25.14,4.69,56.64,30.71,0.2
7.7,14.017,68.1832,North Pacific Ocean,8564.3,476.0,38.71,14.72,9.38,31.08,43.13,2.56
8.43,-76.2451,87.6662,South Pacific Ocean,4051.1,803.3,37.2,12.79,5.43,93.77,32.91,9.07
7.89,-20.0028,-85.4886,Caribbean Sea,9418.0,935.4,33.24,24.16,8.62,54.92,34.53,1.37
7.72,-78.1802,-70.8774,Bering Sea,4939.7,2399.4,31.86,27.39,4.14,98.94,25.7,7.37
8.0,28.4057,-166.3395,South Pacific Ocean,5304.6,-340.3,36.29,13.63,9.25,59.96,49.42,3.84
8.37,-28.064,177.0695,Caribbean Sea,3880.7,2290.7,34.34,20.17,2.05,98.84,40.54,1.33
7.77,84.7175,-179.9238,Bay of Bengal,2537.6,2696.1,32.83,22.84,5.32,71.18,38.01,3.78
7.67,-71.4315,-7.2226,Baltic Sea,2695.7,2192.2,38.37,11.04,8.98,79.58,31.01,3.16
8.14,70.9782,-19.848,Bering Sea,7726.7,2580.8,39.94,31.01,6.25,50.27,15.08,0.93
8.19,-85.2738,109.6784,South Atlantic Ocean,4653.4,1776.2,35.31,11.7,5.06,66.17,29.28,7.08
7.57,27.8887,-155.0295,Gulf of Mexico,3079.9,-55.0,30.89,4.81,6.33,3.06,25.2,3.44
7.75,80.6279,-67.8581,Red Sea,5578.1,1835.9,31.35,7.32,6.03,11.21,7.62,3.18
7.62,37.3178,80.0047,Arabian Sea,372.3,310.4,37.94,31.79,3.03,11.41,23.24,2.78
8.21,-84.4896,172.5783,Southern Ocean,5632.1,1685.1,39.4,16.66,7.95,44.54,43.05,1.5
8.03,28.2924,178.6241,Southern Ocean,6543.1,2290.5,31.08,10.1,4.31,74.27,19.92,6.74
8.4,-38.0698,-115.1881,Indian Ocean,10319.8,183.5,31.68,3.17,1.85,82.3,14.76,2.42
8.18,41.3274,-154.2222,South Atlantic Ocean,7587.2,2558.1,39.02,1.24,3.25,96.41,21.28,0.54
7.77,-8.6298,-2.8614,Bering Sea,5020.8,2742.9,34.98,19.35,8.48,11.02,26.38,2.28
7.84,21.32,-167.2408,Gulf of Mexico,6098.3,-313.4,39.71,17.75,9.85,60.1,21.1,6.42
7.92,-85.7331,-10.9128,Red Sea,10798.9,1779.4,33.95,21.54,9.3,37.23,5.64,7.25
7.6,-39.5491,160.1099,Gulf of Mexico,1724.0,1431.9,31.86,2.7,4.7,21.95,3.75,6.05
8.42,-35.6568,123.1478,Bering Sea,7272.7,-267.9,31.15,24.49,1.57,72.43,31.97,1.56
8.2,-9.4263,-163.467,Southern Ocean,8077.1,1666.6,35.33,2.97,4.14,32.37,6.02,8.19
8.23,68.5124,-172.039,South Pacific Ocean,4304.3,1079.0,36.07,11.42,7.23,23.23,43.72,7.99
8.16,-23.5482,-29.0626,North Atlantic Ocean,2957.9,-361.9,35.13,11.39,9.87,61.14,25.53,4.14
7.94,36.6504,-140.1424,Red Sea,3266.3,2053.6,36.06,31.97,7.25,69.28,38.18,5.77
7.88,-25.7787,-46.7647,Bering Sea,4066.1,2982.2,37.27,10.15,2.84,1.27,28.69,8.88
8.05,-53.8223,71.3486,Bay of Bengal,2445.2,2070.5,35.91,12.13,2.97,52.49,14.64,4.5
8.24,-6.6798,-59.1425,Indian Ocean,4289.1,1783.7,37.57,13.88,7.8,20.15,4.97,4.58
7.86,-46.1391,-48.5961,Red Sea,8340.2,2675.5,35.88,13.71,6.6,32.19,15.01,5.05
7.99,-80.506,-151.3162,Norwegian Sea,6568.9,2148.7,39.75,28.2,2.06,74.68,11.36,6.9
8.15,-51.445,145.4566,South Pacific Ocean,8233.7,2345.8,36.73,14.83,3.67,65.0,10.22,2.39
7.78,-75.1261,117.4673,North Pacific Ocean,10468.8,-16.3,37.68,1.84,9.04,54.9,46.99,1.98
8.33,-81.4621,-44.3484,Southern Ocean,2710.9,-154.6,33.5,10.78,4.89,63.05,37.52,2.11
7.71,42.9467,20.543,Bering Sea,3643.8,2654.2,32.27,12.23,2.39,59.16,21.76,7.8
8.36,35.1214,-2.4722,Indian Ocean,3528.1,2688.4,34.9,14.19,7.58,27.7,40.3,5.4
7.5,-62.3707,-102.2692,South Atlantic Ocean,7428.5,268.6,37.04,28.94,1.96,67.62,9.7,7.1
8.14,-82.6657,-97.0181,Bay of Bengal,4478.2,2422.1,30.95,30.51,6.25,25.59,0.69,2.41
7.97,-85.7235,-0.2036,Southern Ocean,3082.4,2858.0,36.83,31.42,3.07,89.94,9.77,7.29
7.75,41.665,-27.5271,Bering Sea,6932.3,419.3,36.24,0.13,7.16,16.43,22.23,1.75
8.45,-13.7949,-33.8812,North Pacific Ocean,10004.5,85.5,38.01,19.59,1.66,86.6,30.13,5.47
7.71,-12.6684,121.4653,South Pacific Ocean,3350.5,495.4,39.64,0.49,3.76,51.44,29.55,8.89
7.99,-78.5279,-171.5613,Baltic Sea,7768.3,1729.8,34.73,29.38,6.61,70.6,12.82,9.66
8.06,54.226,166.0186,South Atlantic Ocean,4543.5,2692.1,30.32,14.26,5.75,2.98,48.33,1.22
8.46,-37.4804,104.9874,Bay of Bengal,9786.5,1813.4,37.43,29.88,8.76,84.33,33.2,7.27
8.14,-14.414,142.1552,South Atlantic Ocean,6361.2,226.4,30.89,11.57,1.45,87.27,6.38,3.41
7.57,-10.4433,53.2131,South Pacific Ocean,4334.6,671.4,32.63,26.51,3.76,30.49,36.07,8.17
7.92,68.7654,-77.7755,Norwegian Sea,8779.7,1255.7,36.31,-0.97,1.23,69.56,46.71,2.71
8.37,59.9841,7.7599,Baltic Sea,5703.1,92.7,32.05,6.61,9.92,1.72,10.67,1.37
8.26,-30.8547,-19.3739,Gulf of Mexico,7366.2,1987.7,39.24,-0.26,4.91,80.83,5.24,5.57
7.55,-76.7662,-116.2512,Bering Sea,7676.3,2107.8,31.03,25.72,7.97,87.93,46.95,4.3
8.08,10.2952,172.1093,Bay of Bengal,10290.4,1357.0,36.07,7.34,1.31,44.82,32.25,3.0
